ID,DATE,n1,n2,n3,n4,n5
478,20131207,8,24,51,86,87
479,20131130,12,30,51,66,73
480,20131123,11,14,37,57,58
481,20131116,6,13,34,39,51
482,20131109,11,59,61,74,80
483,20131102,20,43,44,46,55
484,20131026,7,31,36,48,66
485,20131019,9,17,69,72,85
486,20131012,30,31,35,43,54
487,20131005,7,25,34,37,46
488,20130928,5,31,64,76,86
489,20130921,17,21,70,77,83
490,20130914,1,15,48,53,62
491,20130907,26,66,77,82,87
492,20130831,15,24,48,59,65
493,20130824,10,12,22,39,68
494,20130817,12,25,31,56,57
495,20130810,42,44,49,70,78
496,20130803,30,31,39,78,83
497,20130727,22,59,62,80,90
498,20130720,16,30,32,49,73
499,20130713,2,13,15,36,69
500,20130706,55,68,76,78,81
501,20130629,14,27,64,70,85
502,20130622,8,12,38,45,85
503,20130615,13,15,30,31,41
504,20130608,13,26,42,79,84
505,20130601,9,30,39,52,75
506,20130525,13,50,53,59,70
507,20130518,23,26,33,53,60
508,20130511,12,37,62,82,83
509,20130504,25,39,45,54,65
510,20130427,20,23,39,70,78
511,20130420,18,33,53,75,89
512,20130413,26,39,40,52,53
513,20130406,1,30,37,55,82
514,20130330,3,45,56,57,86
515,20130323,1,15,45,68,70
516,20130316,2,12,23,57,78
517,20130309,6,18,26,76,77
518,20130302,6,15,23,43,68
519,20130223,2,3,47,61,67
520,20130216,3,19,41,55,61
521,20130209,1,31,55,77,88
522,20130202,7,14,19,37,44
523,20130126,21,33,43,56,79
524,20130119,4,20,24,36,39
525,20130112,4,12,31,75,85
526,20130105,28,47,58,72,75
527,20121229,34,41,56,59,61
528,20121222,5,15,32,52,83
529,20121215,5,16,70,82,85
530,20121208,20,31,34,69,84
531,20121201,15,33,56,60,76
532,20121124,20,26,59,72,75
533,20121117,16,24,40,64,73
534,20121110,9,16,49,54,68
535,20121103,3,15,19,63,89
536,20121027,15,18,37,48,72
537,20121020,47,51,53,57,63
538,20121013,6,23,41,81,85
539,20121006,18,28,29,33,59
540,20120929,2,12,29,68,86
541,20120922,28,38,52,56,65
542,20120915,39,62,73,83,90
543,20120908,1,7,30,44,69
544,20120901,24,75,83,84,85
545,20120825,7,26,37,81,88
546,20120818,11,42,53,64,66
547,20120811,16,23,26,74,75
548,20120804,16,22,28,40,54
549,20120728,7,33,35,83,89
550,20120721,19,43,46,47,52
551,20120714,20,44,52,65,83
552,20120707,17,29,74,76,82
553,20120630,11,12,31,49,58
554,20120623,19,24,47,60,88
555,20120616,19,26,53,60,89
556,20120609,14,21,22,58,64
557,20120602,18,20,30,42,51
558,20120526,23,30,45,56,71
559,20120519,11,36,43,63,66
560,20120512,1,25,27,69,81
561,20120505,21,36,68,69,87
562,20120428,1,6,23,46,50
563,20120421,24,25,43,60,85
564,20120414,1,23,39,50,65
565,20120407,35,75,80,84,86
566,20120331,15,17,68,71,89
567,20120324,5,44,63,73,83
568,20120317,39,45,57,77,81
569,20120310,45,67,69,76,88
570,20120303,2,18,43,48,53
571,20120225,7,18,59,60,65
572,20120218,3,29,66,79,83
573,20120211,40,54,60,64,65
574,20120204,4,15,24,78,82
575,20120128,7,21,48,55,82
576,20120121,10,30,44,65,66
577,20120114,12,41,59,61,66
578,20120107,45,56,65,81,83
579,20120101,19,32,36,52,76
580,20111225,12,18,25,40,67
581,20111217,2,4,61,62,89
582,20111210,4,24,32,46,84
583,20111203,9,18,45,57,71
584,20111126,2,6,34,35,76
585,20111119,4,34,48,66,83
586,20111112,6,11,40,47,86
587,20111105,6,26,27,33,75
588,20111029,4,26,67,68,71
589,20111022,24,37,39,48,74
590,20111015,1,4,40,57,70
591,20111008,33,59,63,76,84
592,20111001,4,22,32,33,35
593,20110924,3,20,27,42,51
594,20110917,16,50,74,76,78
595,20110910,35,57,74,84,87
596,20110903,7,10,56,58,84
597,20110827,35,59,78,85,88
598,20110820,23,65,75,84,88
599,20110813,20,56,63,68,84
600,20110806,7,14,50,68,90
601,20110730,28,50,64,79,82
602,20110723,28,55,57,82,83
603,20110716,4,20,43,52,85
604,20110709,37,50,65,87,89
605,20110702,2,22,36,60,76
606,20110625,15,52,55,71,83
607,20110618,15,20,37,42,51
608,20110611,11,42,45,63,76
609,20110604,2,13,72,83,84
610,20110528,9,33,42,68,74
611,20110521,8,10,51,59,74
612,20110514,22,29,40,48,86
613,20110507,6,22,23,47,84
614,20110430,26,39,41,84,88
615,20110423,1,19,34,51,67
616,20110416,35,60,74,77,84
617,20110409,2,34,66,77,82
618,20110402,24,29,53,71,72
619,20110326,40,54,73,81,85
620,20110319,18,41,42,52,89
621,20110312,17,31,32,53,72
622,20110305,1,56,69,75,76
623,20110226,5,22,51,70,72
624,20110219,15,38,66,70,76
625,20110212,5,15,36,73,75
626,20110205,1,2,18,58,74
627,20110129,12,21,33,57,59
628,20110122,26,39,70,71,82
629,20110115,3,10,48,61,76
630,20110108,5,30,55,70,85
631,20110101,4,8,31,81,83
632,20101225,4,17,70,71,75
633,20101218,11,30,63,66,84
634,20101211,4,28,38,69,72
635,20101204,37,45,48,52,74
636,20101127,2,60,66,73,84
637,20101120,24,26,39,40,78
638,20101113,1,15,22,50,80
639,20101106,15,41,43,45,89
640,20101030,6,28,38,49,69
641,20101023,12,23,30,33,61
642,20101016,2,8,38,44,50
643,20101009,10,29,62,74,83
644,20101002,13,19,31,53,73
645,20100925,26,30,36,41,81
646,20100918,1,7,14,35,43
647,20100911,25,32,36,43,63
648,20100904,15,37,46,55,59
649,20100828,3,11,16,22,87
650,20100821,13,19,26,53,73
651,20100814,39,42,47,81,89
652,20100807,2,9,11,37,46
653,20100731,1,3,38,63,72
654,20100724,11,23,32,66,73
655,20100717,25,49,76,78,85
656,20100710,3,53,73,76,89
657,20100703,14,17,21,28,50
658,20100626,11,18,26,67,83
659,20100619,4,44,65,73,89
660,20100612,31,46,70,74,78
661,20100605,9,18,76,85,90
662,20100529,17,19,29,36,78
663,20100522,4,6,52,77,78
664,20100515,15,37,51,83,86
665,20100508,2,30,50,72,84
666,20100501,24,52,58,61,78
667,20100424,1,10,42,55,73
668,20100417,18,36,49,64,80
669,20100410,18,23,45,53,64
670,20100403,28,38,55,68,82
671,20100327,8,22,53,63,71
672,20100320,10,61,71,77,83
673,20100313,1,29,50,55,70
674,20100306,20,24,61,86,90
675,20100227,9,24,54,79,82
676,20100220,4,9,29,64,65
677,20100213,13,26,27,30,45
678,20100206,12,38,39,57,79
679,20100130,3,16,31,52,53
680,20100123,8,9,54,69,87
681,20100116,25,35,42,57,87
682,20100109,13,17,42,43,46
683,20100102,5,42,46,71,81
684,20091226,4,22,68,72,82
685,20091219,6,28,33,41,45
686,20091212,3,25,48,55,80
687,20091205,21,38,46,61,65
688,20091128,15,19,45,63,68
689,20091121,60,73,75,82,86
690,20091114,55,61,63,86,90
691,20091107,6,32,57,66,77
692,20091031,5,35,47,66,78
693,20091024,18,19,54,57,84
694,20091017,4,27,29,62,72
695,20091010,15,28,51,52,73
696,20091003,1,6,8,59,71
697,20090926,16,24,33,54,84
698,20090919,9,16,26,73,75
699,20090912,1,11,21,29,81
700,20090905,9,14,15,26,45
701,20090829,9,12,35,56,58
702,20090822,11,34,41,56,69
703,20090815,4,43,61,77,80
704,20090808,1,2,16,51,90
705,20090801,15,23,41,67,73
706,20090725,25,29,48,66,89
707,20090718,1,6,20,33,38
708,20090711,4,28,58,59,85
709,20090704,2,54,66,78,81
710,20090627,4,9,13,32,70
711,20090620,3,4,32,83,90
712,20090613,1,7,17,40,81
713,20090606,31,37,66,73,77
714,20090530,25,66,76,77,90
715,20090523,1,13,33,46,54
716,20090516,2,38,44,61,76
717,20090509,27,33,38,71,81
718,20090502,10,16,29,34,42
719,20090425,20,43,53,54,58
720,20090419,17,21,57,62,71
721,20090411,4,7,31,54,57
722,20090404,7,11,15,66,79
723,20090328,14,32,53,70,86
724,20090321,20,44,52,74,85
725,20090314,26,31,33,36,37
726,20090307,11,25,57,79,86
727,20090228,7,22,79,86,88
728,20090221,5,19,26,62,64
729,20090214,4,16,22,39,69
730,20090207,18,22,29,47,51
731,20090131,27,43,53,74,75
732,20090124,2,29,31,43,85
733,20090117,16,43,48,76,86
734,20090110,4,41,56,84,85
735,20090103,9,12,36,51,60
736,20081227,26,34,66,67,83
737,20081220,1,23,24,39,62
738,20081213,1,15,43,44,51
739,20081206,11,24,31,60,84
740,20081129,10,13,28,52,65
741,20081122,9,13,16,39,67
742,20081115,9,13,29,33,64
743,20081108,9,22,24,49,88
744,20081101,2,9,39,69,75
745,20081025,5,14,36,46,54
746,20081018,31,52,55,59,62
747,20081011,11,27,69,72,77
748,20081004,1,25,38,71,74
749,20080927,33,45,57,73,88
750,20080920,22,31,53,67,84
751,20080913,34,41,61,76,84
752,20080906,22,23,31,42,73
753,20080830,3,40,57,75,83
754,20080823,11,20,44,46,88
755,20080816,7,16,33,65,78
756,20080809,1,33,42,65,70
757,20080802,2,38,40,50,84
758,20080726,32,37,48,70,87
759,20080719,14,24,64,74,81
760,20080712,2,23,26,27,50
761,20080705,20,27,63,81,82
762,20080628,4,7,56,71,83
763,20080621,5,16,30,50,55
764,20080614,3,15,16,56,89
765,20080607,27,33,39,65,83
766,20080531,4,8,18,86,89
767,20080524,3,11,28,43,75
768,20080517,53,57,62,82,90
769,20080510,4,44,47,63,89
770,20080503,10,53,54,65,71
771,20080426,7,8,24,56,85
772,20080419,11,36,38,79,89
773,20080412,29,55,64,77,87
774,20080405,16,51,69,78,87
775,20080329,10,14,28,35,41
776,20080322,9,29,57,69,74
777,20080315,10,34,42,66,85
778,20080308,10,23,29,58,65
779,20080301,11,13,49,57,60
780,20080223,12,27,44,52,57
781,20080216,2,24,26,34,88
782,20080209,14,16,28,46,58
783,20080202,3,18,20,71,81
784,20080126,10,23,61,68,72
785,20080119,5,24,59,62,86
786,20080112,18,42,45,72,80
787,20080105,4,14,27,38,41
788,20071229,9,12,15,49,66
789,20071222,15,17,34,80,90
790,20071215,11,13,18,39,76
791,20071208,40,50,70,73,89
792,20071201,6,27,60,71,82
793,20071124,4,21,26,71,83
794,20071117,9,34,50,63,90
795,20071110,1,15,26,55,59
796,20071103,15,22,23,70,88
797,20071027,28,34,36,42,86
798,20071020,25,30,40,55,74
799,20071013,11,21,32,84,85
800,20071006,1,18,30,69,90
801,20070929,25,38,51,55,85
802,20070922,27,37,39,57,66
803,20070915,9,35,42,87,88
804,20070908,2,4,17,25,41
805,20070901,3,11,24,35,77
806,20070825,17,26,57,59,78
807,20070818,28,30,35,46,83
808,20070811,1,3,47,76,78
809,20070804,40,46,63,71,77
810,20070728,13,14,39,81,87
811,20070721,20,41,44,68,71
812,20070714,24,56,73,89,90
813,20070707,21,24,26,35,71
814,20070630,9,62,69,83,90
815,20070623,10,16,25,36,56
816,20070616,19,29,47,54,83
817,20070609,31,44,71,73,82
818,20070602,11,24,42,59,78
819,20070526,1,6,18,35,79
820,20070519,46,65,75,84,85
821,20070512,52,54,72,77,83
822,20070505,9,14,21,55,77
823,20070428,21,41,45,49,63
824,20070421,3,10,14,30,63
825,20070414,14,30,47,58,77
826,20070407,14,20,30,55,75
827,20070331,7,49,63,64,72
828,20070324,13,49,66,75,79
829,20070317,22,39,49,60,70
830,20070310,11,24,38,39,81
831,20070303,18,36,65,79,89
832,20070224,8,13,39,43,63
833,20070217,16,22,62,79,90
834,20070210,1,8,34,74,86
835,20070203,14,23,72,85,86
836,20070127,2,32,47,61,67
837,20070120,16,43,56,57,86
838,20070113,45,54,79,81,82
839,20070106,27,36,37,55,57
840,20061230,5,21,35,62,76
841,20061223,52,54,65,72,88
842,20061216,14,41,48,50,52
843,20061210,4,27,29,74,85
844,20061202,20,25,31,60,79
845,20061125,5,13,21,27,81
846,20061118,14,27,40,52,74
847,20061111,25,42,48,73,87
848,20061105,15,17,37,48,57
849,20061028,5,24,30,44,57
850,20061021,1,6,14,18,88
851,20061014,3,39,40,82,83
852,20061007,25,38,40,55,76
853,20060930,11,12,35,61,76
854,20060923,13,37,51,59,61
855,20060916,19,21,42,73,87
856,20060909,4,12,45,65,66
857,20060902,17,38,39,55,85
858,20060826,16,35,54,65,68
859,20060819,17,18,66,73,90
860,20060812,15,22,63,81,89
861,20060805,13,16,46,65,69
862,20060729,34,45,76,77,83
863,20060722,36,44,47,83,89
864,20060715,2,15,29,73,75
865,20060708,4,17,19,53,61
866,20060701,11,62,69,74,90
867,20060624,38,49,73,78,83
868,20060617,11,17,69,71,80
869,20060610,1,29,34,73,88
870,20060603,15,28,35,65,73
871,20060527,9,22,55,70,79
872,20060520,10,24,51,57,76
873,20060513,12,22,28,56,60
874,20060506,15,23,34,44,67
875,20060429,8,11,13,21,43
876,20060422,3,10,66,69,82
877,20060415,24,28,34,49,56
878,20060408,9,29,38,80,86
879,20060401,8,46,56,79,84
880,20060325,13,35,61,64,66
881,20060318,50,53,63,79,86
882,20060311,9,33,61,72,90
883,20060304,44,71,73,76,84
884,20060225,3,7,8,16,59
885,20060218,19,27,40,80,87
886,20060211,52,55,56,64,81
887,20060204,21,45,52,69,83
888,20060128,13,63,65,66,74
889,20060121,1,33,49,56,69
890,20060114,35,36,42,47,60
891,20060107,5,19,21,44,69
892,20060101,13,35,39,42,58
893,20051225,6,19,31,72,81
894,20051217,3,18,19,60,79
895,20051210,7,11,16,50,86
896,20051203,38,45,56,63,78
897,20051126,5,30,72,87,88
898,20051119,5,14,15,56,79
899,20051112,36,40,52,79,80
900,20051105,15,22,28,41,57
901,20051029,33,37,40,51,52
902,20051022,4,51,66,74,83
903,20051015,34,44,55,62,75
904,20051008,3,19,50,59,70
905,20051001,31,44,55,67,73
906,20050924,8,36,44,55,76
907,20050917,3,33,53,60,61
908,20050910,4,16,22,48,88
909,20050903,17,18,40,42,58
910,20050827,4,32,34,36,78
911,20050820,22,32,51,75,83
912,20050813,2,9,28,30,78
913,20050806,3,31,39,73,81
914,20050730,6,15,36,38,75
915,20050723,11,12,28,64,81
916,20050716,4,10,37,42,51
917,20050709,12,17,45,59,75
918,20050702,17,24,47,68,84
919,20050625,7,24,36,57,70
920,20050618,18,35,56,88,90
921,20050611,4,29,33,44,73
922,20050604,27,36,57,71,86
923,20050528,7,8,69,80,84
924,20050521,14,16,32,53,54
925,20050514,1,6,62,72,75
926,20050507,41,50,80,83,85
927,20050430,41,47,77,82,84
928,20050423,3,4,25,29,65
929,20050416,37,50,69,77,81
930,20050409,9,27,59,72,74
931,20050402,16,20,41,59,60
932,20050326,2,19,63,72,82
933,20050319,21,29,58,62,71
934,20050312,2,16,36,37,72
935,20050305,19,37,49,86,89
936,20050226,8,27,28,33,58
937,20050219,9,20,47,50,78
938,20050212,14,30,32,37,67
939,20050205,31,32,54,76,89
940,20050129,2,8,37,38,54
941,20050122,30,33,40,55,88
942,20050115,22,66,67,87,89
943,20050108,30,42,60,75,80
944,20050101,38,55,65,66,67
945,20041225,24,48,50,55,80
946,20041218,8,11,17,45,81
947,20041211,16,60,65,77,78
948,20041204,11,13,22,38,47
949,20041127,49,61,66,69,75
950,20041120,27,29,34,37,59
951,20041113,23,47,61,69,82
952,20041106,28,38,47,62,79
